// up to max 1900 psi, opened motor fully and then started measuring pressure.
14:07:21.629 -> -1994,3
14:07:21.629 -> -1994,0
14:07:21.662 -> -1994,0
14:07:21.662 -> -1994,0
14:07:21.695 -> -1994,0
14:07:21.732 -> -1994,0
14:07:21.732 -> -1994,4
14:07:21.766 -> -1994,0
14:07:21.766 -> -1994,0
14:07:21.802 -> -1994,0
14:07:21.802 -> -1994,2
14:07:21.840 -> -1994,10
14:07:21.873 -> -1994,0
14:07:21.873 -> -1994,0
14:07:21.907 -> -1994,0
14:07:21.907 -> -1994,0
14:07:21.946 -> -1994,0
14:07:21.946 -> -1994,0
14:07:21.979 -> -1994,0
14:07:22.012 -> -1994,0
14:07:22.012 -> -1994,0
14:07:22.045 -> -1994,3
14:07:22.045 -> -1994,0
14:07:22.078 -> -1994,0
14:07:22.115 -> -1994,0
14:07:22.115 -> -1994,0
14:07:22.149 -> -1994,1
